2019.06.16 12:52:54.286 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:54.602 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:55.287 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:55.603 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:56.287 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:56.603 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:57.287 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:57.603 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:58.288 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:58.604 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:59.288 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:59.604 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:00.289 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:00.605 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:01.289 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:01.606 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:02.290 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:02.606 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:03.290 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:03.607 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:04.290 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:04.608 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:05.291 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:05.609 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:06.291 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:06.609 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:07.292 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:07.582 INFO  Server.Server - Client excepted: Socket[addr=/192.168.3.1,port=61721,localport=5400]
2019.06.16 12:53:07.582 INFO  Server.Server - Client is connected to server (IP: ziv-PC/192.168.3.1, port: 5400)
2019.06.16 12:53:07.582 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.3.1,port=61721,localport=5400]
2019.06.16 12:53:07.583 INFO  Server.Server - Server generating 30 by 30 maze
2019.06.16 12:53:07.587 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.3.1,port=61721,localport=5400]
2019.06.16 12:53:07.610 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:08.582 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:08.610 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:09.583 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:09.610 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:10.584 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:10.610 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:11.585 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:11.611 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:12.585 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:12.612 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:13.586 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:13.613 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:14.586 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:14.614 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:15.587 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:15.614 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:16.588 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:16.615 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:17.588 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:17.616 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:18.589 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:18.616 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:19.590 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:19.617 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:20.590 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:20.618 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:21.591 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:21.618 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:22.591 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:22.618 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:23.592 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:23.619 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:24.592 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:24.619 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:25.593 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:25.619 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:26.593 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:26.630 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:27.593 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:27.631 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:28.594 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:28.631 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:29.594 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:29.632 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:30.595 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:30.632 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:31.596 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:31.632 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:32.596 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:32.634 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:33.597 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:33.634 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:34.597 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:34.635 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:35.598 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:35.635 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:36.598 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:36.635 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:37.600 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:37.635 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:38.600 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:38.636 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:39.601 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:39.637 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:40.601 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:40.637 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:41.602 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:41.637 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:42.602 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:42.637 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:43.603 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:43.638 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:44.603 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:44.639 DEBUG Server.Server - Socket Timeout - No clients pending!
